 redshift sorgente =   1.0000000E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  2.9583514E-20   1.000000    
  2.4045298E-02  2.4045298E+10  2.9583514E-20   1.000000    
  2.8908806E-02  2.8908806E+10  2.9583514E-20   1.000000    
  3.4756031E-02  3.4756030E+10  2.9583514E-20   1.000000    
  4.1785937E-02  4.1785938E+10  5.1058408E-10   1.000000    
  5.0237749E-02  5.0237747E+10  1.6933200E-06   1.000002    
  6.0399055E-02  6.0399055E+10  1.0174291E-05   1.000010    
  7.2615631E-02  7.2615633E+10  2.9326247E-05   1.000029    
  8.7303191E-02  8.7303193E+10  6.3030537E-05   1.000063    
  0.1049615      1.0496152E+11  1.1723251E-04   1.000117    
  0.1261915      1.2619151E+11  2.0434604E-04   1.000204    
  0.1517156      1.5171556E+11  3.4359362E-04   1.000344    
  0.1824022      1.8240222E+11  5.5697758E-04   1.000557    
  0.2192957      2.1929571E+11  8.7235594E-04   1.000873    
  0.2636514      2.6365143E+11  1.3247879E-03   1.001326    
  0.3169787      3.1697872E+11  1.9430934E-03   1.001945    
  0.3810923      3.8109227E+11  2.7464051E-03   1.002750    
  0.4581737      4.5817368E+11  3.7368189E-03   1.003744    
  0.5508459      5.5084594E+11  4.8863539E-03   1.004898    
  0.6622624      6.6226245E+11  6.1502582E-03   1.006169    
  0.7962146      7.9621456E+11  7.4874535E-03   1.007516    
  0.9572604      9.5726043E+11  8.8275885E-03   1.008867    
   1.150880      1.1508802E+12  1.0098589E-02   1.010150    
   1.383662      1.3836624E+12  1.1271391E-02   1.011335    
   1.663528      1.6635279E+12  1.2302612E-02   1.012379    
   2.000000      2.0000005E+12  1.3193239E-02   1.013281    
   2.404530      2.4045295E+12  1.3987472E-02   1.014086    
   2.890880      2.8908803E+12  1.4744031E-02   1.014853    
   3.475603      3.4756027E+12  1.5656473E-02   1.015780    
   4.178594      4.1785934E+12  1.6941978E-02   1.017086    
   5.023774      5.0237743E+12  1.8777849E-02   1.018955    
   6.039905      6.0399047E+12  2.1406559E-02   1.021637    
   7.261563      7.2615629E+12  2.4864279E-02   1.025176    
   8.730319      8.7303190E+12  2.9859820E-02   1.030310    
   10.49615      1.0496151E+13  3.6957420E-02   1.037649    
   12.61915      1.2619150E+13  4.7481280E-02   1.048627    
   15.17155      1.5171555E+13  6.3854180E-02   1.065937    
   18.24022      1.8240221E+13  8.8737398E-02   1.092794    
   21.92957      2.1929568E+13  0.1280005       1.136554    
   26.36514      2.6365141E+13  0.1890552       1.208108    
   31.69787      3.1697872E+13  0.2817767       1.325483    
   38.10922      3.8109224E+13  0.4161231       1.516073    
   45.81736      4.5817361E+13  0.5984497       1.819296    
   55.08458      5.5084583E+13  0.8235963       2.278680    
   66.22623      6.6226236E+13   1.080105       2.944989    
   79.62144      7.9621446E+13   1.349136       3.854095    
   95.72604      9.5726038E+13   1.607969       4.992661    
   115.0880      1.1508801E+14   1.834119       6.259616    
   138.3662      1.3836622E+14   2.017683       7.520875    
   166.3528      1.6635279E+14   2.141438       8.511673    
 redshift sorgente =   2.0000001E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  5.9124867E-20   1.000000    
  2.4045298E-02  2.4045298E+10  5.9124867E-20   1.000000    
  2.8908806E-02  2.8908806E+10  5.9124867E-20   1.000000    
  3.4756031E-02  3.4756030E+10  5.9124867E-20   1.000000    
  4.1785937E-02  4.1785938E+10  2.2976285E-09   1.000000    
  5.0237749E-02  5.0237747E+10  3.4457139E-06   1.000003    
  6.0399055E-02  6.0399055E+10  2.0526804E-05   1.000021    
  7.2615631E-02  7.2615633E+10  5.8998368E-05   1.000059    
  8.7303191E-02  8.7303193E+10  1.2663630E-04   1.000127    
  0.1049615      1.0496152E+11  2.3537008E-04   1.000235    
  0.1261915      1.2619151E+11  4.1009070E-04   1.000410    
  0.1517156      1.5171556E+11  6.8925839E-04   1.000690    
  0.1824022      1.8240222E+11  1.1169640E-03   1.001118    
  0.2192957      2.1929571E+11  1.7490407E-03   1.001751    
  0.2636514      2.6365143E+11  2.6555678E-03   1.002659    
  0.3169787      3.1697872E+11  3.8942476E-03   1.003902    
  0.3810923      3.8109227E+11  5.5033606E-03   1.005519    
  0.4581737      4.5817368E+11  7.4867234E-03   1.007515    
  0.5508459      5.5084594E+11  9.7881546E-03   1.009836    
  0.6622624      6.6226245E+11  1.2318040E-02   1.012394    
  0.7962146      7.9621456E+11  1.4994435E-02   1.015107    
  0.9572604      9.5726043E+11  1.7675590E-02   1.017833    
   1.150880      1.1508802E+12  2.0218631E-02   1.020424    
   1.383662      1.3836624E+12  2.2564510E-02   1.022821    
   1.663528      1.6635279E+12  2.4627300E-02   1.024933    
   2.000000      2.0000005E+12  2.6409063E-02   1.026761    
   2.404530      2.4045295E+12  2.7998397E-02   1.028394    
   2.890880      2.8908803E+12  2.9513910E-02   1.029954    
   3.475603      3.4756027E+12  3.1343535E-02   1.031840    
   4.178594      4.1785934E+12  3.3919260E-02   1.034501    
   5.023774      5.0237743E+12  3.7597746E-02   1.038314    
   6.039905      6.0399047E+12  4.2862695E-02   1.043795    
   7.261563      7.2615629E+12  4.9787175E-02   1.051047    
   8.730319      8.7303190E+12  5.9788957E-02   1.061612    
   10.49615      1.0496151E+13  7.3997229E-02   1.076804    
   12.61915      1.2619150E+13  9.5068946E-02   1.099735    
   15.17155      1.5171555E+13  0.1278648       1.136399    
   18.24022      1.8240221E+13  0.1777205       1.194491    
   21.92957      2.1929568E+13  0.2563797       1.292243    
   26.36514      2.6365141E+13  0.3787099       1.460399    
   31.69787      3.1697872E+13  0.5644077       1.758406    
   38.10922      3.8109224E+13  0.8333559       2.301028    
   45.81736      4.5817361E+13   1.198103       3.313823    
   55.08458      5.5084583E+13   1.648296       5.198113    
   66.22623      6.6226236E+13   2.160844       8.678460    
   79.62144      7.9621446E+13   2.698180       14.85268    
   95.72604      9.5726038E+13   3.215117       24.90619    
   115.0880      1.1508801E+14   3.666193       39.10274    
   138.3662      1.3836622E+14   4.031740       56.35890    
   166.3528      1.6635279E+14   4.278237       72.11322    
 redshift sorgente =   3.0000000E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  8.8624060E-20   1.000000    
  2.4045298E-02  2.4045298E+10  8.8624060E-20   1.000000    
  2.8908806E-02  2.8908806E+10  8.8624060E-20   1.000000    
  3.4756031E-02  3.4756030E+10  8.8624060E-20   1.000000    
  4.1785937E-02  4.1785938E+10  5.3611324E-09   1.000000    
  5.0237749E-02  5.0237747E+10  5.2571813E-06   1.000005    
  6.0399055E-02  6.0399055E+10  3.1057538E-05   1.000031    
  7.2615631E-02  7.2615633E+10  8.9016357E-05   1.000089    
  8.7303191E-02  8.7303193E+10  1.9081727E-04   1.000191    
