 redshift sorgente =    1.001000     fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  4.9621970E-03   1.004974    
  2.4045298E-02  2.4045298E+10  1.2896247E-02   1.012980    
  2.8908806E-02  2.8908806E+10  2.8054269E-02   1.028451    
  3.4756031E-02  3.4756030E+10  5.3497504E-02   1.054954    
  4.1785937E-02  4.1785938E+10  9.2331737E-02   1.096729    
  5.0237749E-02  5.0237747E+10  0.1483744       1.159947    
  6.0399055E-02  6.0399055E+10  0.2280566       1.256156    
  7.2615631E-02  7.2615633E+10  0.3437304       1.410198    
  8.7303191E-02  8.7303193E+10  0.5147867       1.673281    
  0.1049615      1.0496152E+11  0.7654986       2.150066    
  0.1261915      1.2619151E+11   1.122200       3.071604    
  0.1517156      1.5171556E+11   1.609939       5.002506    
  0.1824022      1.8240222E+11   2.250497       9.492449    
  0.2192957      2.1929571E+11   3.061049       21.34993    
  0.2636514      2.6365143E+11   4.047678       57.26434    
  0.3169787      3.1697872E+11   5.198927       181.0779    
  0.3810923      3.8109227E+11   6.482019       653.2889    
  0.4581737      4.5817368E+11   7.844557       2551.808    
  0.5508459      5.5084594E+11   9.223547       10132.94    
  0.6622624      6.6226245E+11   10.56441       38731.64    
  0.7962146      7.9621456E+11   11.83392       137850.3    
  0.9572604      9.5726043E+11   13.04988       465039.7    
   1.150880      1.1508802E+12   14.30572       1632659.    
   1.383662      1.3836624E+12   15.74747       6903036.    
   1.663528      1.6635279E+12   17.56154      4.2352528E+07
   2.000000      2.0000005E+12   19.89606      4.3726896E+08
   2.404530      2.4045295E+12   22.99121      9.6595497E+09
   2.890880      2.8908803E+12   27.11657      5.9782837E+11
   3.475603      3.4756027E+12   32.70821      1.6032274E+14
   4.178594      4.1785934E+12   40.45303      3.7027769E+17
   5.023774      5.0237743E+12   51.48210      0.0000000E+00
   6.039905      6.0399047E+12   67.82499      0.0000000E+00
   7.261563      7.2615629E+12   92.92004      0.0000000E+00
   8.730319      8.7303190E+12   132.5146      0.0000000E+00
   10.49615      1.0496151E+13   195.4910      0.0000000E+00
   12.61915      1.2619150E+13   293.2264      0.0000000E+00
   15.17155      1.5171555E+13   436.3744      0.0000000E+00
   18.24022      1.8240221E+13   631.8522      0.0000000E+00
   21.92957      2.1929568E+13   879.8293      0.0000000E+00
   26.36514      2.6365141E+13   1174.688      0.0000000E+00
   31.69787      3.1697872E+13   1497.034      0.0000000E+00
   38.10922      3.8109224E+13   1826.649      0.0000000E+00
   45.81736      4.5817361E+13   2137.371      0.0000000E+00
   55.08458      5.5084583E+13   2406.671      0.0000000E+00
   66.22623      6.6226236E+13   2619.695      0.0000000E+00
   79.62144      7.9621446E+13   2759.493      0.0000000E+00
   95.72604      9.5726038E+13   2826.408      0.0000000E+00
   115.0880      1.1508801E+14   2824.781      0.0000000E+00
